android (ms);flutter (ms)
224;372
219;373
220;372
230;373
230;380
212;371
217;371
225;369
224;369
235;370
218;370
223;373
230;372
228;371
242;367
268;368
216;371
215;371
211;368
233;370
220;371
232;375
238;377
209;368
218;370
228;369
231;369
227;370
231;375
228;373
222;373
229;373
217;374
222;369
227;374
213;369
227;368
228;373
222;370
219;374
219;368
216;373
217;370
230;363
232;366
255;369
220;370
211;373
212;374
221;377
231;368
225;371
229;369
213;367
211;369
215;375
227;375
214;374
224;370
229;366
227;369
206;374
217;370
218;369
229;371
216;371
225;368
234;369
231;372
216;369
230;372
219;369
223;371
279;371
213;375
225;376
217;375
231;373
217;370
222;365
220;368
233;373
211;372
238;367
232;366
228;362
222;369
222;373
225;367
234;372
220;373
220;364
224;370
218;369
216;368
218;368
211;372
220;375
216;369
